name,code,professor,day,period,area,category,class_mode,grade_dist,exam_type,credit,semester,major_track,is_required
AI융합개론-1,LH000100,정영범,목,1,1,핵심전공,대면,보통,논술형,3,1,3,0
AI융합개론-2,LH000100,정영범,목,4,1,핵심전공,대면,보통,논술형,3,1,3,0
이산수학-1,LH003700,홍기형,목,7,1,핵심전공,블렌디드,보통,"주관식, 객관식,T/F형",3,0,3,0
이산수학-2,LH003700,손용하,수,7,1,핵심전공,블렌디드,보통,"주관식, 객관식,T/F형",3,0,3,0
IT개론-1,LH003600,이재원,화,7,1,핵심전공,대면,보통,객관식,3,0,3,0
IT개론-2,LH003600,정선진,월,4,1,핵심전공,대면,보통,객관식,3,0,3,0
웹프로그래밍기초-1,LC005700,정선진,화,4,1,전공인정,대면,보통,"객관식,주관식",3,0,3,0
웹프로그래밍기초-2,LC005700,이혜리,수,4,1,전공인정,대면,보통,"객관식,주관식",3,0,3,0
디지털컨텐츠-1,LA004600,한세영,목,4,1,전공인정,대면,보통,"주관식, 객관식,T/F형",3,0,3,0
디지털컨텐츠-2,LA004600,이민하,목,7,1,전공인정,대면,보통,"주관식, 객관식,T/F형",3,0,3,0
기초통계학,SA046100,신준호,수,1,0,공통교양,대면,보통,"주관식,논술형",3,1,0,0
기초통계학,SA046100,원형묵,수,4,0,공통교양,대면,보통,"주관식,논술형",3,1,0,0
파이썬 프로그래밍,SA046200,정영범,금,1,0,공통교양,대면,보통,주관식,3,0,0,0
파이썬 프로그래밍,SA046200,김대영,월,4,0,공통교양,대면,보통,주관식,3,0,0,0
디지털논리회로,LH003000,이준세,화,1,2,핵심전공,블렌디드,보통,"주관식,객관식",3,1,3,0
고급파이썬프로그래밍-1,LH000200,김준영,화,4,2,핵심전공,대면,보통,주관식,3,1,3,0
고급파이썬프로그래밍-2,LH000200,강대성,금,4,2,핵심전공,대면,보통,주관식,3,1,3,0
인공지능-1,LH004300,이재원,수,7,2,핵심전공,대면,보통,객관식,3,1,3,0
